Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
Grand Long - One Park - Tower 2 & 3,,,,"
Project Revenue: $97,200
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-04-30
Onboarding Contact: confirm w/ JT
First time using Avesdo? No
Competitors, CRMs, other software being used? confirm w/ JT
Current process outside Avesdo? confirm w/ JT
Major problems we're solving? confirm w/ JT
What does success mean for the client? confirm w/ JT
Additional comments: please connect with JT to get the needed KYC information for this project",,Released,Released,22-Oct-21,,220
Pennyfarthing | Channel,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $10,875
Initial Launch Date: 2021-07-01


KYC Survey:
Initial Launch Date: 2021-07-01
Onboarding Contact: Sarah Rasheed
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,20-Jul-21,,15
Woodbridge Homes - Baycrest,,,,,,Released,Released,02-Oct-20,,
Collecdev | Cielo / 300 Bloor,,,,"
Project Revenue: $19,950
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-04-16
Onboarding Contact: Charles  - charlesj@rdsre.ca  AND
Natascha -  np@collecdev.com
First time using Avesdo? No
Competitors, CRMs, other software being used? using Blackline/Avesdo integration
Current process outside Avesdo? -
Major problems we're solving? -
What does success mean for the client? -
Additional comments: follow up w/ JT for KYC answers",,Released,Released,01-Oct-21,,249
Sightline Properties & Key Marketing - Just West,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $17,500
Initial Launch Date: 2021-10-15
Province: British Columbia


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 35
Initial Launch Date: 2021-10-15
Onboarding Contact: Polly Cordwell
First time using Avesdo? No
Competitors, CRMs, other software being used? No
Current process outside Avesdo? N/A
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: The project is already launched but we will only be loading the remaining 35 units onto Avesdo",,Released,Released,15-Oct-21,,35
Rennie - Entroterra,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-09-20
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: katerina wong
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: high rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce integration
API/Reporting Requirements: salesforce integration
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesforce integration
Why Buy/Challenges we are solving: salesforce integration
What is client's goal from Avesdo? salesforce integration
Why Avesdo? salesforce integration
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,06-Oct-23,,56
Streetside - Juno (Key Marketing),,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $98,895
Initial Launch Date: 2023-02-10
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 347
Initial Launch Date: 2023-02-10
Onboarding Contact: Jennifer Wilson or Nic Campbell
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? Client is using Key Marketing on this project and it will be their first tower site with Avesdo to my knowledge.
Additional comments: ",,Released,Released,17-Feb-24,,347
Forrester | Townline ,,,,,,Released,Released,22-Jun-20,,
Tsawwassen Project,Rashi Gupta,,Onni,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $60,300.00
Province: British Columbia
# of Homes: 300
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-10-10
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Nick Belmar

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: Likely

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,300
Zail Properties - Aviva,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $30,800.00
Province: British Columbia
# of Homes: 68
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-04-12
Development Proposal Stage: 
Sales/Marketing Company: Momentum

Contact Details
Onboarding Contact: Tarynn Sharpe (Momentum)
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,19-Apr-24,,68
High Street Village Developments/Fifth Ave - Condominiums at Highstreet Village - Building One,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $97,340
Initial Launch Date: 2022-04-29
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 314
Initial Launch Date: 2022-04-29
Onboarding Contact: Trevor at Fifth
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? rennie's system
Major problems we're solving? efficient contract and file management
What does success mean for the client? Storage of all files in one place
Additional comments: ",,Released,Released,26-Oct-22,,77
Avesdo License | Fifth Ave | Fauna & Flora,Roell Pereira,,,"Product Type: Contracts Module
Trust Account Required: No
Deal Value: $56,100
Initial Launch Date: 2022-01-14
Province: British Columbia


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 66
Initial Launch Date: 2022-01-14
Onboarding Contact: Yvonne Stengel
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? N/A
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,17-Feb-22,,66
Rennie - Kwasen Village,Elton Paul,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 267
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-05-16
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: ?
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? Yes
Leads? No
Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? No
CRM/Lead Ingestion: Salesforce
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: ",,Released,Released,16-May-25,,267
Cavendish - Panatch Group,Rashi Gupta,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $15,000.00
Province: British Columbia
# of Homes: 35
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-06-06
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Kate Karamos
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? TBD
Leads? No
Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? TBD (confirm with client)
CRM/Lead Ingestion: ?
API/Reporting Requirements: None

Notes
Other Special Customer-Related Notes: This is for a project they have already launched. They have brought sales in house so they are wanting to be more efficient. I am not 100% sure if they have done an Avesdo set up before or not. I select this Friday for launch because it is a set up they will want to get going right away, but it likely won't have to be Friday. This is an SMB contract. ",,Released,Released,18-Jun-25,,35
